,n_word,n_lemma,n_id,det,det_lemma,num,num_lemma,adj,num_adj,ncomp,ncomp_lemma,num_ncomp,nmod,nmod_lemma,num_nmod,sen_len,sen_id
16728,minds,mind,38,,,,,"tiny, sweet, little",3,,,,,,,51,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0017
16729,torture,torture,50,this,this,,,,,,,,,,,51,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0017
16730,advice,advice,9,some,some,,,,,,,,,,,16,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0018
16731,starters,starter,4,,,,,,,,,,,,,22,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0019
16732,prayer,prayer,19,a,a,,,special,1,,,,,,,22,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0019
16733,email,email,5,the,the,,,,,,,,,,,18,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0021
16734,website,website,6,the,the,,,,,,,,,,,13,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0022
16735,song,song,9,the,the,,,,,,,,,,,13,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0022
16736,animals,animal,20,those,those,,,"poor, innocent",2,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0023
16737,death,death,25,,,,,,,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0023
16738,heat,heat,27,,,,,,,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0023
16739,death,death,31,,,,,,,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0023
16740,chambers,chamber,32,those,those,,,Holocaust-esque,1,death,death,1,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0023
16741,Date,date,1,,,,,,,,,,,,,10,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0026
16742,Subject,subject,1,,,,,,,,,,,,,10,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0028
16743,Civet,civet,3,,,,,,,,,,,,,10,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0028
16744,Cats,cat,4,,,,,,,Civet,civet,1,,,,10,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0028
16745,song,song,10,a,a,,,,,,,,,,,10,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0028
16746,time,time,5,,,,,first,1,,,,,,,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16747,list,list,9,the,the,,,,,,,,,,,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16748,song,song,21,a,a,,,,,,,,,,,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16749,animal,animal,38,,,,,,,,,,,,,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16750,suffering,suffering,39,,,,,extreme,1,animal,animal,1,result,result,1,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16751,result,result,42,a,a,,,,,,,,lack,lack,1,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16752,lack,lack,45,,,,,human,1,,,,empathy,empathy,1,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16753,empathy,empathy,47,,,,,,,,,,,,,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16754,abundance,abundance,51,an,an,,,,,,,,greed,greed,1,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16755,greed,greed,54,,,,,human,1,,,,,,,55,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0029
16756,civet,civet,12,,,,,,,,,,,,,47,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0030
16757,cats,cat,13,,,,,,,civet,civet,1,,,,47,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0030
16758,author,author,30,,,,,,,,,,,,,47,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0030
16759,animal,animal,40,,,,,,,,,,,,,47,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0030
16760,rights,rights,41,,,,,,,animal,animal,1,,,,47,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0030
16761,books,book,44,,,,,"many, other",2,,,,,,,47,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0030
16762,articles,article,46,,,,,,,,,,,,,47,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0030
16763,animal,animal,10,,,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0031
16764,rights,rights,11,,,,,,,animal,animal,1,,,,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0031
16765,theory,theory,12,,,,,,,rights,rights,1,,,,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0031
16766,theory,theory,19,the,the,,,,,,,,utilitarianism,utilitarianism,1,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0031
16767,utilitarianism,utilitarianism,21,,,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0031
16768,animals,animal,25,,,,,non-human,1,,,,,,,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0031
16769,quote,quote,2,The,The,,,,,,,,,,,17,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0032
16770,article,article,6,an,an,,,,,,,,,,,17,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0032
16771,article,article,6,the,the,,,complete,1,,,,,,,31,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0033
16772,article,article,17,a,a,,,good,1,,,,,,,31,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0033
16773,meat,meat,20,,,,,,,,,,,,,31,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0033
16774,eater,eater,22,no,no,,,,,meat,meat,1,,,,31,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0033
16775,hypocrisy,hypocrisy,30,,,,,own,1,,,,,,,31,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0033
16776,civet,civet,8,,,,,,,,,,,,,10,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0034
16777,cats,cat,9,,,,,,,civet,civet,1,,,,10,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0034
16778,example,example,4,an,an,,,,,,,,,,,20,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0035
16779,treatment,treatment,8,the,the,,,,,,,,cat,cat,1,20,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0035
16780,civet,civet,11,,,,,,,,,,,,,20,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0035
16781,cat,cat,12,the,the,,,,,civet,civet,1,,,,20,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0035
16782,animal,animal,19,a,a,,,intelligent,1,,,,,,,20,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0035
16783,Civet,civet,1,,,,,,,,,,,,,25,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0036
16784,cats,cat,2,,,,,,,Civet,civet,1,,,,25,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0036
16785,cages,cage,9,,,,,small,1,,,,sheds,shed,1,25,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0036
16786,sheds,shed,12,,,,,,,,,,,,,25,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0036
16787,temperature,temperature,16,the,the,,,,,,,,,,,25,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0036
16788,fires,fire,24,,,,,,,,,,,,,25,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0036
16789,way,way,6,this,this,,,,,,,,,,,11,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0037
16790,mistreatment,mistreatment,5,this,this,,,extraordinary,1,,,,,,,6,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0038
16791,animals,animal,2,These,These,,,,,,,,,,,18,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0039
16792,misfortune,misfortune,5,the,the,,,,,,,,,,,18,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0039
16793,substance,substance,9,a,a,,,useful,1,,,,,,,18,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0039
16794,manufacture,manufacture,15,the,the,,,,,,,,perfume,perfume,1,18,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0039
16795,perfume,perfume,17,,,,,,,,,,,,,18,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0039
16796,Musk,musk,1,,,,,,,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0040
16797,genitals,genitals,8,,,,,,,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0040
16798,day,day,11,a,a,,,,,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0040
16799,scent,scent,23,the,the,,,,,,,,perfume,perfume,1,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0040
16800,perfume,perfume,25,,,,,,,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0040
16801,bit,bit,28,a,a,,,,,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0040
16802,application,application,32,each,each,,,,,,,,,,,33,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0040
16803,heat,heat,3,The,The,,,,,,,,,,,12,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0041
16804,production,production,7,,,,,,,,,,musk,musk,1,12,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0041
16805,musk,musk,10,,,,,,,,,,,,,12,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0041
16806,rule,rule,4,,,,,,,,,,,,,26,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0042
16807,Animals,animal,7,,,,,,,,,,,,,26,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0042
16808,means,means,10,,,,,,,,,,end,end,1,26,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0042
16809,end,end,13,an,an,,,,,,,,,,,26,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0042
16810,end,end,16,that,that,,,,,,,,,,,26,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0042
16811,man,man,18,,,,,,,,,,,,,26,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0042
16812,vengeance,vengeance,25,a,a,,,,,,,,,,,26,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0042
16813,interests,interest,8,the,the,,,trivial,1,,,,,,,22,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0043
16814,thousands,thousand,12,,,,,,,,,,animals,animal,1,22,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0043
16815,animals,animal,14,,,,,,,,,,,,,22,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0043
16816,lives,life,20,,,,,whole,1,,,,,,,22,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0043
16817,article,article,2,This,This,,,,,,,,,,,21,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0044
16818,piece,piece,7,this,this,,,,,,,,,,,21,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0044
16819,song,song,17,a,a,,,,,,,,,,,21,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0044
16820,topic,topic,20,the,the,,,,,,,,,,,21,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0044
16821,song,song,9,this,this,,,,,,,,,,,28,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0045
16822,opinion,opinion,15,,,,,,,,,,,,,28,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0045
16823,one,one,6,no,no,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0046
16824,obligation,obligation,9,any,any,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0046
16825,internet,internet,18,,,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0046
16826,connection,connection,19,an,an,,,slow,1,internet,internet,1,,,,27,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0046
16827,url,url,2,The,The,,,,,,,,song,song,1,7,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0047
16828,song,song,5,the,the,,,,,,,,,,,7,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0047
16829,vocals,vocal,6,,,,,,,,,,,,,17,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0048
16830,lyrics,lyric,8,no,no,,,human,1,vocals,vocal,1,,,,17,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0048
16831,subject,subject,13,,,,,,,,,,,,,17,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0048
16832,matter,matter,14,,,,,,,subject,subject,1,,,,17,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0048
16833,article,article,11,,,,,entire,1,,,,,,,16,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0049
16834,net,net,6,the,the,,,,,,,,,,,7,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0050
16835,vegetarian,vegetarian,5,a,a,one,one,,,,,,,,,32,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0051
16836,year,year,15,a,a,,,more,1,,,,,,,32,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0051
16837,factors,factor,25,the,the,,,bigger,1,,,,,,,32,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0051
16838,icq,icq,1,,,,,,,,,,,,,4,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0055
16839,uin,uin,2,,,5249025,5249025,,,icq,icq,1,,,,4,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0055
16840,Note,note,2,,,,,,,,,,,,,15,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0056
16841,friend,friend,10,,,,,,,,,,,,,15,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0056
16842,cat,cat,14,,,,,,,,,,,,,15,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0056
16843,Thanks,thanks,1,,,,,,,,,,,,,2,newsgroup-groups.google.com_alt.animals.cat_01ff709c4bf2c60c_ENG_20040418_040100-0058
16844,THOUSANDS,thousand,2,,,,,,,,,,,,,4,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0001
16845,SCAM,scam,5,A,A,,,,,,,,,,,6,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0002
16846,bulletin,bulletin,6,,,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0003
16847,board,board,7,a,a,,,,,bulletin,bulletin,1,,,,27,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0003
16848,crap,crap,22,the,the,,,"useless, pre-fabricated",2,,,,,,,27,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0003
16849,message,message,24,this,this,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0003
16850,crap,crap,3,,,,,pre-fab,1,,,,,,,4,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0005
16851,days,day,3,,,seven,seven,,,,,,,,,12,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0007
16852,money,money,8,,,,,,,,,,,,,12,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0007
16853,mail,mail,11,the,the,,,,,,,,,,,12,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0007
16854,money,money,10,the,the,,,,,,,,,,,15,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0009
16855,week,week,4,,,,,first,1,,,,,,,11,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0010
16856,end,end,3,the,the,,,,,,,,week,week,1,18,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0011
16857,week,week,7,the,the,,,second,1,,,,,,,18,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0011
16858,total,total,12,a,a,,,,,,,,,,,18,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0011
16859,week,week,4,the,the,,,third,1,,,,,,,16,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0012
16860,week,week,6,,,,,fourth,1,,,,,,,22,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0013
16861,total,total,12,a,a,,,,,,,,,,,22,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0013
16862,stamps,stamp,9,,,six,six,,,,,,,,,24,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0014
16863,lottery,lottery,20,the,the,,,,,,,,,,,24,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0014
16864,information,information,15,the,the,,,,,,,,,,,25,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0016
16865,directions,direction,9,the,the,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0017
16866,money,money,17,,,,,more,1,,,,,,,27,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0017
16867,Suggestion,suggestion,1,,,,,,,,,,,,,8,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0018
16868,message,message,6,this,this,,,entire,1,,,,,,,8,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0018
16869,directions,direction,4,the,the,,,simple,1,,,,,,,11,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0020
16870,money,money,8,the,the,,,,,,,,,,,11,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0020
16871,investment,investment,4,,,,,,,,,,,,,13,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0023
16872,postage,postage,11,,,,,,,,,,,,,13,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0023
16873,rip,rip,5,,,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0025
16874,off,off,7,a,a,,,decent,1,rip,rip,1,,,,27,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0025
16875,risk,risk,22,no,no,,,,,,,,,,,27,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0025
16876,instructions,instruction,5,the,the,,,,,,,,,,,15,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0026
16877,dividends,dividend,14,,,,,extraordinary,1,,,,,,,15,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0026
16878,directions,direction,4,the,the,,,,,,,,,,,20,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0028
16879,days,day,19,,,20,20,,,,,,,,,20,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0028
16880,program,program,2,This,This,,,,,,,,,,,14,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0029
16881,honesty,honesty,8,the,the,,,,,,,,participants,participant,1,14,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0029
16882,integrity,integrity,10,,,,,,,,,,,,,14,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0029
16883,participants,participant,13,the,the,,,,,,,,,,,14,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0029
16884,success,success,4,,,,,,,,,,,,,11,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0030
16885,instructions,instruction,10,the,the,,,,,,,,,,,11,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0030
16886,part,part,6,a,a,,,,,,,,business,business,1,12,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0031
16887,Mail,mail,9,,,,,,,,,,,,,12,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0031
16888,Order,order,10,,,,,,,Mail,mail,1,,,,12,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0031
16889,business,business,11,the,the,,,,,Order,order,1,,,,12,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0031
16890,business,business,5,the,the,,,,,,,,,,,10,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0032
16891,Mailing,mailing,8,,,,,,,,,,,,,10,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0032
16892,Lists,list,9,,,,,,,Mailing,mailing,1,,,,10,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0032
16893,corporations,corporation,3,,,,,"Many, large",2,,,,,,,13,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0033
16894,bucks,buck,9,,,,,big,1,,,,,,,13,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0033
16895,lists,list,12,,,,,quality,1,,,,,,,13,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0033
16896,money,money,4,the,the,,,,,,,,,,,30,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0034
16897,mailing,mailing,8,,,,,,,,,,,,,30,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0034
16898,lists,list,9,the,the,,,,,mailing,mailing,1,,,,30,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0034
16899,income,income,13,,,,,,,,,,,,,30,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0034
16900,people,people,18,,,,,,,,,,,,,30,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0034
16901,list,list,29,that,that,,,,,,,,,,,30,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0034
16902,steps,step,6,the,the,four,four,easy,1,,,,success,success,1,9,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0035
16903,success,success,8,,,,,,,,,,,,,9,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0035
16904,STEP,step,1,,,ONE,one,,,,,,,,,3,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0036
16905,pieces,piece,4,,,six,six,separate,1,,,,paper,paper,1,25,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0037
16906,paper,paper,6,,,,,,,,,,,,,25,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0037
16907,piece,piece,13,each,each,,,,,,,,paper,paper,1,25,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0037
16908,paper,paper,15,,,,,,,,,,,,,25,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0037
16909,MAILING,mailing,22,,,,,,,,,,,,,25,newsgroup-groups.google.com_alt.animals.bears_1125853b1f13cff6_ENG_20040126_171100-0037
